"U.S. Census Bureau"
"Source: Monthly Retail Trade and Food Services"
"4453: Beer, Wine, and Liquor Stores: U.S. Total"
"Not Seasonally Adjusted Sales - Monthly [Millions of Dollars]"
"Period: 1992 to 2019"
"Data Extracted on: June 14, 2020 (2:16 pm)"

Period,Value
Jan-1992,1509
Feb-1992,1541
Mar-1992,1597
Apr-1992,1675
May-1992,1822
Jun-1992,1775
Jul-1992,1912
Aug-1992,1862
Sep-1992,1770
Oct-1992,1882
Nov-1992,1831
Dec-1992,2511
Jan-1993,1614
Feb-1993,1529
Mar-1993,1678
Apr-1993,1713
May-1993,1796
Jun-1993,1792
Jul-1993,1950
Aug-1993,1777
Sep-1993,1707
Oct-1993,1757
Nov-1993,1782
Dec-1993,2443
Jan-1994,1548
Feb-1994,1505
Mar-1994,1714
Apr-1994,1757
May-1994,1830
Jun-1994,1857
Jul-1994,1981
Aug-1994,1858
Sep-1994,1823
Oct-1994,1806
Nov-1994,1845
Dec-1994,2577
Jan-1995,1555
Feb-1995,1501
Mar-1995,1725
Apr-1995,1699
May-1995,1807
Jun-1995,1863
Jul-1995,1886
Aug-1995,1861
Sep-1995,1845
Oct-1995,1788
Nov-1995,1879
Dec-1995,2598
Jan-1996,1679
Feb-1996,1652
Mar-1996,1837
Apr-1996,1798
May-1996,1957
Jun-1996,1958
Jul-1996,2034
Aug-1996,2062
Sep-1996,1781
Oct-1996,1860
Nov-1996,1992
Dec-1996,2547
Jan-1997,1706
Feb-1997,1621
Mar-1997,1853
Apr-1997,1817
May-1997,2060
Jun-1997,2002
Jul-1997,2098
Aug-1997,2079
Sep-1997,1892
Oct-1997,2050
Nov-1997,2082
Dec-1997,2821
Jan-1998,1846
Feb-1998,1768
Mar-1998,1894
Apr-1998,1963
May-1998,2140
Jun-1998,2059
Jul-1998,2209
Aug-1998,2118
Sep-1998,2031
Oct-1998,2163
Nov-1998,2154
Dec-1998,3037
Jan-1999,1866
Feb-1999,1808
Mar-1999,1986
Apr-1999,2099
May-1999,2210
Jun-1999,2145
Jul-1999,2339
Aug-1999,2140
Sep-1999,2126
Oct-1999,2219
Nov-1999,2273
Dec-1999,3265
Jan-2000,1920
Feb-2000,1976
Mar-2000,2190
Apr-2000,2132
May-2000,2357
Jun-2000,2413
Jul-2000,2463
Aug-2000,2422
Sep-2000,2358
Oct-2000,2352
Nov-2000,2549
Dec-2000,3375
Jan-2001,2109
Feb-2001,2052
Mar-2001,2327
Apr-2001,2231
May-2001,2470
Jun-2001,2526
Jul-2001,2483
Aug-2001,2518
Sep-2001,2316
Oct-2001,2409
Nov-2001,2638
Dec-2001,3542
Jan-2002,2114
Feb-2002,2109
Mar-2002,2366
Apr-2002,2300
May-2002,2569
Jun-2002,2486
Jul-2002,2568
Aug-2002,2595
Sep-2002,2297
Oct-2002,2401
Nov-2002,2601
Dec-2002,3488
Jan-2003,2121
Feb-2003,2046
Mar-2003,2273
Apr-2003,2333
May-2003,2576
Jun-2003,2433
Jul-2003,2611
Aug-2003,2660
Sep-2003,2461
Oct-2003,2641
Nov-2003,2660
Dec-2003,3654
Jan-2004,2293
Feb-2004,2219
Mar-2004,2398
Apr-2004,2553
May-2004,2685
Jun-2004,2643
Jul-2004,2867
Aug-2004,2622
Sep-2004,2618
Oct-2004,2727
Nov-2004,2763
Dec-2004,3801
Jan-2005,2219
Feb-2005,2316
Mar-2005,2530
Apr-2005,2640
May-2005,2709
Jun-2005,2783
Jul-2005,2924
Aug-2005,2791
Sep-2005,2784
Oct-2005,2801
Nov-2005,2933
Dec-2005,4137
Jan-2006,2424
Feb-2006,2519
Mar-2006,2753
Apr-2006,2791
May-2006,3017
Jun-2006,3055
Jul-2006,3117
Aug-2006,3024
Sep-2006,2997
Oct-2006,2913
Nov-2006,3137
Dec-2006,4269
Jan-2007,2569
Feb-2007,2603
Mar-2007,3005
Apr-2007,2867
May-2007,3262
Jun-2007,3364
Jul-2007,3322
Aug-2007,3292
Sep-2007,3057
Oct-2007,3087
Nov-2007,3297
Dec-2007,4403
Jan-2008,2675
Feb-2008,2806
Mar-2008,2989
Apr-2008,2997
May-2008,3420
Jun-2008,3279
Jul-2008,3517
Aug-2008,3472
Sep-2008,3151
Oct-2008,3351
Nov-2008,3386
Dec-2008,4461
Jan-2009,2913
Feb-2009,2781
Mar-2009,3024
Apr-2009,3130
May-2009,3467
Jun-2009,3307
Jul-2009,3555
Aug-2009,3399
Sep-2009,3263
Oct-2009,3425
Nov-2009,3356
Dec-2009,4625
Jan-2010,2878
Feb-2010,2916
Mar-2010,3214
Apr-2010,3310
May-2010,3467
Jun-2010,3438
Jul-2010,3657
Aug-2010,3454
Sep-2010,3365
Oct-2010,3497
Nov-2010,3524
Dec-2010,4681
Jan-2011,2888
Feb-2011,2984
Mar-2011,3249
Apr-2011,3363
May-2011,3471
Jun-2011,3551
Jul-2011,3740
Aug-2011,3576
Sep-2011,3517
Oct-2011,3515
Nov-2011,3646
Dec-2011,4892
Jan-2012,2995
Feb-2012,3202
Mar-2012,3550
Apr-2012,3409
May-2012,3786
Jun-2012,3816
Jul-2012,3733
Aug-2012,3752
Sep-2012,3503
Oct-2012,3626
Nov-2012,3869
Dec-2012,5124
Jan-2013,3155
Feb-2013,3227
Mar-2013,3624
Apr-2013,3488
May-2013,3947
Jun-2013,3809
Jul-2013,4034
Aug-2013,4100
Sep-2013,3631
Oct-2013,3787
Nov-2013,4059
Dec-2013,5215
Jan-2014,3381
Feb-2014,3310
Mar-2014,3652
Apr-2014,3702
May-2014,4165
Jun-2014,4036
Jul-2014,4242
Aug-2014,4219
Sep-2014,3814
Oct-2014,4090
Nov-2014,4103
Dec-2014,5572
Jan-2015,3572
Feb-2015,3482
Mar-2015,3857
Apr-2015,3867
May-2015,4335
Jun-2015,4217
Jul-2015,4532
Aug-2015,4260
Sep-2015,4073
Oct-2015,4273
Nov-2015,4266
Dec-2015,5816
Jan-2016,3607
Feb-2016,3769
Mar-2016,4045
Apr-2016,4108
May-2016,4396
Jun-2016,4468
Jul-2016,4745
Aug-2016,4475
Sep-2016,4431
Oct-2016,4436
Nov-2016,4676
Dec-2016,6057
Jan-2017,3740
Feb-2017,3774
Mar-2017,4266
Apr-2017,4273
May-2017,4673
Jun-2017,4703
Jul-2017,4828
Aug-2017,4677
Sep-2017,4568
Oct-2017,4567
Nov-2017,4879
Dec-2017,6284
Jan-2018,3991
Feb-2018,3992
Mar-2018,4670
Apr-2018,4362
May-2018,4950
Jun-2018,4990
Jul-2018,5011
Aug-2018,4945
Sep-2018,4650
Oct-2018,4789
Nov-2018,5176
Dec-2018,6442
Jan-2019,4134
Feb-2019,4116
Mar-2019,4673
Apr-2019,4580
May-2019,5109
Jun-2019,5011
Jul-2019,5245
Aug-2019,5270
Sep-2019,4680
Oct-2019,4913
Nov-2019,5312
Dec-2019,6630
